,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,2992,3188,718,2108,2281,2544,2077,1974,1285,1489,1279,1671,1732
2,111.37639999999999,3820,4371,707,2501,2518,3211,2503,2149,1212,1509,1199,1643,1800
3,166.56459999999998,1801,1915,314,1115,1110,1434,1093,925,455,547,395,584,698
4,221.75279999999998,985,1077,160,561,583,768,548,457,200,273,188,250,294
5,276.941,541,680,119,296,360,408,297,265,126,149,93,121,143
6,332.12919999999997,343,405,63,181,245,287,212,148,81,80,62,74,72
7,387.31739999999996,233,291,45,132,139,179,140,100,46,36,23,42,58
8,442.50559999999996,162,194,30,67,119,137,97,54,31,34,19,18,33
9,497.69379999999995,104,123,22,53,66,104,66,49,28,13,10,19,14
10,552.882,101,97,14,32,52,79,57,39,15,15,4,10,15
11,608.0701999999999,69,69,13,33,42,47,43,23,12,9,6,7,12
12,663.2583999999999,40,42,8,20,44,39,34,28,13,9,6,5,15
13,718.4466,34,41,8,24,25,38,37,18,6,3,5,6,9
14,773.6347999999999,23,33,5,21,18,34,24,21,4,6,5,5,15
15,828.8229999999999,20,29,1,16,32,32,20,12,2,11,3,2,2
16,884.0111999999999,12,21,3,13,16,25,21,14,6,5,3,3,1
17,939.1994,16,16,3,8,17,17,19,12,2,3,2,3,1
18,994.3875999999999,8,14,4,7,10,24,16,5,3,2,6,2,1
19,1049.5757999999998,7,15,1,8,11,15,20,12,6,5,0,0,0
20,1104.764,12,10,2,5,12,10,19,2,4,2,1,2,1
21,1159.9522,8,13,0,7,4,17,15,8,3,7,5,0,3
22,1215.1403999999998,6,6,1,6,4,14,10,11,2,1,1,3,2
23,1270.3285999999998,7,4,2,6,4,7,10,6,4,0,1,0,0
24,1325.5167999999999,6,5,2,4,6,11,11,8,5,1,6,2,2
25,1380.705,14,14,1,8,16,9,22,13,5,3,1,0,1
26,1435.8932,18,17,0,8,18,30,32,19,13,5,2,7,2
27,1491.0813999999998,8,9,2,4,7,25,17,14,6,6,4,1,1
28,1546.2695999999999,3,3,1,2,0,5,14,13,5,3,1,3,0
29,1601.4578,0,0,0,1,0,9,5,6,3,1,2,1,0
30,1656.6459999999997,0,1,0,1,0,3,3,6,1,1,0,1,0
31,1711.8341999999998,0,0,0,0,1,3,2,1,3,0,2,1,1
32,1767.0223999999998,1,0,0,0,1,9,12,13,9,11,7,5,8
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
