,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,4,0,1,1,0,0,0,0,0,0,1,0,0
2,111.37639999999999,8583,3573,3544,2341,2485,1606,1262,1787,1240,1276,1406,1750,1189
3,166.56459999999998,6358,2129,2153,1369,1505,937,728,1098,776,734,835,1041,733
4,221.75279999999998,2436,741,740,490,543,316,255,490,284,272,333,402,287
5,276.941,1001,269,305,202,215,125,92,210,126,155,151,182,125
6,332.12919999999997,424,130,112,102,97,51,53,122,55,62,76,84,58
7,387.31739999999996,179,62,57,41,50,31,24,63,22,37,35,35,33
8,442.50559999999996,93,20,11,24,20,14,12,44,15,14,25,28,16
9,497.69379999999995,42,20,12,9,4,14,9,23,15,11,14,18,11
10,552.882,21,8,7,1,6,6,2,21,13,10,6,11,8
11,608.0701999999999,20,2,3,2,4,1,0,17,3,9,6,6,7
12,663.2583999999999,9,3,4,1,5,1,3,9,4,4,3,5,3
13,718.4466,6,1,0,0,1,1,3,4,5,4,1,6,6
14,773.6347999999999,4,0,1,2,0,1,5,8,4,1,3,0,4
15,828.8229999999999,6,1,0,1,3,0,3,2,2,1,2,2,0
16,884.0111999999999,4,1,2,0,1,1,1,3,2,1,1,1,1
17,939.1994,1,1,0,0,0,1,1,4,0,0,0,1,3
18,994.3875999999999,0,1,0,0,1,1,0,3,1,0,1,2,1
19,1049.5757999999998,1,0,0,0,0,0,0,3,1,0,1,0,0
20,1104.764,0,0,0,0,1,1,1,0,2,0,0,0,2
21,1159.9522,0,0,0,0,0,0,0,1,0,0,0,1,1
22,1215.1403999999998,2,1,0,1,0,0,0,0,1,0,1,0,1
23,1270.3285999999998,0,0,1,1,0,0,1,0,0,0,0,0,0
24,1325.5167999999999,2,2,4,3,5,4,0,1,1,2,3,0,3
25,1380.705,0,0,0,0,0,0,0,1,1,0,0,1,0
26,1435.8932,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1491.0813999999998,2,0,0,0,1,0,0,0,0,0,1,0,0
28,1546.2695999999999,0,0,0,0,0,0,0,0,1,0,1,0,0
29,1601.4578,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1656.6459999999997,0,0,0,0,1,0,0,0,0,0,0,0,0
31,1711.8341999999998,0,0,0,0,0,0,0,1,1,0,0,0,0
32,1767.0223999999998,1,0,0,0,0,0,0,0,0,0,0,0,1
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
