,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,3,0,2,1,0,0,22,1,0,0,0,0,3
2,111.37639999999999,11433,5121,4751,3060,630,836,9071,915,756,962,537,972,1218
3,166.56459999999998,8946,3369,3068,1904,369,419,7945,469,415,557,268,587,182
4,221.75279999999998,3572,1324,1254,886,106,139,2225,164,125,173,103,198,65
5,276.941,1563,568,583,405,41,57,153,52,34,73,35,61,23
6,332.12919999999997,675,274,247,226,30,34,52,27,21,40,20,22,15
7,387.31739999999996,335,120,152,142,24,26,26,17,17,23,14,15,10
8,442.50559999999996,157,54,75,77,15,21,14,14,17,15,10,12,17
9,497.69379999999995,77,31,37,52,17,11,9,8,11,15,15,6,13
10,552.882,31,13,33,33,14,9,8,6,16,20,9,3,19
11,608.0701999999999,19,6,14,21,6,10,5,6,16,4,18,4,18
12,663.2583999999999,13,7,13,13,7,9,7,6,12,18,13,3,19
13,718.4466,6,1,12,13,8,4,7,1,18,19,16,1,20
14,773.6347999999999,0,1,5,5,1,4,3,6,10,10,14,2,13
15,828.8229999999999,4,2,3,10,5,5,2,1,13,4,8,1,18
16,884.0111999999999,5,0,1,2,1,4,1,1,11,7,10,1,27
17,939.1994,2,0,2,6,1,4,6,2,7,6,7,0,16
18,994.3875999999999,1,1,1,7,2,6,0,1,4,8,10,0,18
19,1049.5757999999998,0,0,2,8,4,3,2,0,4,2,12,1,22
20,1104.764,1,0,0,7,5,2,2,1,2,3,9,0,16
21,1159.9522,0,1,1,2,1,3,3,2,2,2,5,0,20
22,1215.1403999999998,0,0,0,1,2,3,2,1,1,3,9,0,18
23,1270.3285999999998,0,0,1,1,0,3,1,1,2,4,6,0,19
24,1325.5167999999999,2,3,4,4,2,3,4,1,3,5,10,1,24
25,1380.705,0,0,0,2,1,2,3,1,1,0,3,0,11
26,1435.8932,1,0,0,2,2,2,0,1,1,1,2,0,16
27,1491.0813999999998,0,0,0,1,3,2,1,1,2,1,3,0,16
28,1546.2695999999999,1,0,0,1,1,2,2,0,1,3,5,1,15
29,1601.4578,0,1,0,1,2,1,0,1,3,3,3,0,18
30,1656.6459999999997,0,0,0,0,0,1,1,1,0,1,1,1,17
31,1711.8341999999998,0,0,0,0,0,2,2,3,1,0,1,0,22
32,1767.0223999999998,0,0,0,1,2,10,8,8,17,11,12,1,22
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1877.3988,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
