,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111.37639999999999,0,0,1,0,1,2,0,1,1,0,0,0,0
3,166.56459999999998,211,78,94,59,85,48,43,65,49,31,41,42,26
4,221.75279999999998,282,113,118,85,115,62,67,99,58,53,63,76,37
5,276.941,176,49,77,49,78,41,34,92,47,30,30,44,32
6,332.12919999999997,124,46,50,30,55,33,19,62,30,19,32,36,20
7,387.31739999999996,65,28,34,27,39,17,23,54,29,19,19,25,26
8,442.50559999999996,66,13,17,14,23,14,11,36,17,10,15,22,13
9,497.69379999999995,31,11,7,5,24,10,14,37,11,10,12,12,8
10,552.882,19,6,6,7,10,7,4,17,9,4,14,13,8
11,608.0701999999999,14,5,9,6,12,5,5,14,11,7,8,8,6
12,663.2583999999999,15,3,6,1,4,2,0,13,6,8,6,5,5
13,718.4466,15,2,1,1,8,6,3,10,3,2,6,8,5
14,773.6347999999999,6,5,3,1,2,2,3,13,3,7,1,3,3
15,828.8229999999999,1,1,1,0,3,1,2,8,7,2,1,3,2
16,884.0111999999999,7,1,1,2,1,3,1,6,4,2,1,4,3
17,939.1994,3,2,1,2,1,1,4,2,2,1,1,0,2
18,994.3875999999999,4,1,1,2,1,2,0,4,1,1,1,1,1
19,1049.5757999999998,1,0,0,0,2,0,1,3,0,1,1,1,1
20,1104.764,2,1,0,0,0,0,1,4,2,0,2,0,1
21,1159.9522,1,0,0,0,0,0,2,2,1,0,2,1,0
22,1215.1403999999998,0,0,0,0,1,0,1,1,0,0,0,0,0
23,1270.3285999999998,0,2,0,0,0,0,0,3,1,1,0,0,0
24,1325.5167999999999,0,0,0,1,0,0,0,1,2,0,0,1,1
25,1380.705,1,0,0,0,1,0,0,1,1,0,0,0,0
26,1435.8932,0,0,0,0,0,0,1,0,0,1,0,1,0
27,1491.0813999999998,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1546.2695999999999,1,0,0,0,0,0,0,0,0,0,1,0,0
29,1601.4578,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1656.6459999999997,0,0,0,0,0,0,0,1,0,0,1,0,0
31,1711.8341999999998,0,0,0,0,1,0,0,0,1,0,0,0,1
32,1767.0223999999998,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1822.2105999999999,0,0,0,0,0,0,0,0,0,0,1,1,0
34,1877.3988,1,0,0,0,0,0,0,0,0,0,0,0,0
35,1932.5869999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1987.7751999999998,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2042.9633999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2098.1515999999997,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2153.3397999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2208.528,0,0,0,0,0,0,0,1,0,0,0,0,0
41,2263.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2318.9044,0,0,0,0,1,0,0,0,0,0,0,0,0
43,2374.0926,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2429.2807999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2484.4689999999996,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2539.6571999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2594.8453999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2705.2218,0,0,0,0,0,0,0,0,0,0,0,0,0
