,Bins,T0,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.188199999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111.37639999999999,0,1,1,0,2,0,0,0,0,0,0,0,0
3,166.56459999999998,70,99,106,91,79,61,52,29,21,14,5,2,3
4,221.75279999999998,96,106,167,111,123,96,69,34,40,14,3,9,2
5,276.941,45,90,133,93,89,83,56,41,39,9,7,10,1
6,332.12919999999997,37,56,77,68,78,61,42,36,21,13,5,4,1
7,387.31739999999996,17,32,62,40,46,48,25,19,20,6,4,3,0
8,442.50559999999996,10,28,56,41,38,53,37,18,20,5,1,5,1
9,497.69379999999995,8,13,29,27,27,37,35,27,9,12,2,4,0
10,552.882,5,9,19,21,28,18,22,7,11,2,1,0,0
11,608.0701999999999,5,11,20,14,25,21,20,13,13,1,1,1,2
12,663.2583999999999,1,4,13,10,13,14,17,19,5,2,1,0,1
13,718.4466,6,5,14,17,12,9,11,12,7,3,1,0,0
14,773.6347999999999,0,4,3,5,12,16,7,4,4,4,0,1,1
15,828.8229999999999,2,0,6,4,7,13,10,7,6,1,1,4,0
16,884.0111999999999,3,2,5,4,6,4,10,4,2,3,1,1,0
17,939.1994,0,5,4,3,6,10,8,6,6,1,1,1,2
18,994.3875999999999,0,3,5,7,5,8,10,4,6,4,0,3,1
19,1049.5757999999998,0,0,1,3,6,5,6,4,2,2,2,2,0
20,1104.764,0,0,3,2,5,7,3,2,3,3,0,0,1
21,1159.9522,0,1,1,1,2,2,2,5,4,1,2,0,0
22,1215.1403999999998,0,1,2,1,2,6,6,3,2,3,0,0,0
23,1270.3285999999998,0,1,3,1,4,6,6,7,4,2,2,0,2
24,1325.5167999999999,0,1,0,1,1,3,2,3,3,2,0,1,0
25,1380.705,0,0,0,3,2,3,2,2,3,0,1,2,1
26,1435.8932,0,0,1,1,0,5,2,3,1,0,0,0,0
27,1491.0813999999998,2,0,0,1,0,2,2,3,1,0,0,2,0
28,1546.2695999999999,0,0,1,0,3,3,3,3,1,3,0,0,1
29,1601.4578,0,0,0,0,1,2,1,0,1,0,0,1,1
30,1656.6459999999997,0,1,1,0,1,0,3,1,2,1,0,0,2
31,1711.8341999999998,0,0,0,0,0,0,4,1,1,0,1,0,0
32,1767.0223999999998,0,0,1,1,1,6,1,1,3,1,0,1,1
33,1822.2105999999999,0,0,0,0,1,2,0,0,2,0,0,3,0
34,1877.3988,0,0,1,0,1,2,0,2,3,0,1,0,0
35,1932.5869999999998,0,0,0,0,1,0,1,2,2,0,0,1,1
36,1987.7751999999998,0,0,1,0,0,0,0,0,4,1,1,0,0
37,2042.9633999999999,0,0,0,0,1,0,0,1,1,4,0,1,0
38,2098.1515999999997,0,0,0,0,0,1,0,1,1,0,1,2,0
39,2153.3397999999997,0,0,0,0,1,1,2,5,1,3,0,1,1
40,2208.528,0,0,0,1,0,2,1,4,0,0,0,2,1
41,2263.7162,0,1,0,0,1,0,1,3,3,0,0,1,1
42,2318.9044,0,0,0,0,0,1,0,1,3,1,0,4,1
43,2374.0926,0,0,0,0,0,0,2,3,3,0,1,0,2
44,2429.2807999999995,0,0,0,0,0,0,0,4,1,0,0,0,2
45,2484.4689999999996,0,0,0,0,0,0,0,0,0,0,2,0,2
46,2539.6571999999996,0,0,0,0,1,0,0,1,0,0,1,0,0
47,2594.8453999999997,0,0,0,0,0,0,1,1,1,0,0,1,0
48,2650.0335999999998,0,0,0,0,0,0,0,0,1,1,1,1,1
49,2705.2218,0,0,0,0,0,0,0,1,0,1,1,0,0
